Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Estimated_Production_tons,Estimated_Revenue_INR,Profit_per_hectare_INR,Profit_per_ton_INR,Profit_to_Revenue_Ratio,Revenue_per_hectare_INR,Profit_Level,Profit_per_Ha_Level
5,Uttarakhand,Dehradun,2014,Zaid,Cotton,1216.14,34.7,43.9,Black,Drip,192.11,41.86,3538.92,6.19,15784.33,314345.0,21905.914800000002,345770188.155084,88.82512178856827,14.34977734871862,0.0009091153915762418,97705.0027,Higher relative profit,Higher relative profit/ha
6,Uttarakhand,Dehradun,2014,Rabi,Millets,1083.02,37.8,70.2,Laterite,Rain-fed,272.78,42.65,4229.97,6.86,24139.55,241455.00000000003,29017.594200000003,700471666.07061,57.08196512032001,8.320986169142857,0.00034470345011165733,165597.313,Higher relative profit,Moderate relative profit/ha
9,Uttarakhand,Dehradun,2014,Rabi,Rice,1092.58,29.9,60.7,Red,Canal,150.57,35.43,4717.91,6.17,18071.24,490434.0,29109.504699999998,526044845.714828,103.95153786316399,16.847899167449594,0.0009323045439853376,111499.55080000001,Higher relative profit,Higher relative profit/ha
12,Uttarakhand,Dehradun,2014,Zaid,Sugarcane,1980.42,36.9,39.7,Black,Rain-fed,244.4,8.81,3826.95,6.79,18804.75,331382.0,25984.9905,488641250.10487497,86.59167221939143,12.752823596375762,0.0006781703344301712,127684.2525,Higher relative profit,Higher relative profit/ha
17,Uttarakhand,Dehradun,2014,Zaid,Millets,652.33,21.7,60.4,Alluvial,Canal,399.79,9.15,4059.31,7.45,17189.16,439156.00000000006,30241.8595,519832161.64302,108.18488856480536,14.521461552322869,0.0008448034431189697,128059.242,Higher relative profit,Higher relative profit/ha
18,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,699.36,27.7,46.8,Red,Tube Well,210.42,8.22,1956.97,8.39,26055.76,260088.0,16418.978300000002,427808958.030008,132.90341701712342,15.840693327428294,0.0006079536090073096,218607.82640000002,Higher relative profit,Higher relative profit/ha
22,Uttarakhand,Haridwar,2014,Zaid,Rice,531.87,22.3,49.6,Red,Sprinkler,423.3,53.45,4408.42,3.9,20360.58,280887.0,17192.838,350056153.52604,63.716025242603926,16.337442369898444,0.0008024055488546221,79406.262,Higher relative profit,Moderate relative profit/ha
25,Uttarakhand,Haridwar,2014,Rabi,Cotton,690.85,26.8,73.8,Sandy,Sprinkler,274.36,11.15,4730.75,6.24,19899.88,246795.0,29519.88,587442069.6144,52.16826084658881,8.36029821259436,0.00042011802144507204,124175.25120000001,Higher relative profit,Moderate relative profit/ha
28,Uttarakhand,Haridwar,2014,Kharif,Maize,1817.27,20.2,83.0,Black,Canal,393.44,17.23,4101.27,4.56,28175.12,298358.0,18701.7912,526925211.27494395,72.7477098557276,15.953445143799916,0.0005662245677675878,128478.54719999997,Higher relative profit,Moderate relative profit/ha
37,Uttarakhand,Nainital,2014,Kharif,Millets,1502.77,32.4,62.8,Red,Sprinkler,382.23,35.13,4496.32,6.63,37157.75,315751.0,29810.601599999998,1107694881.6023998,70.22431677460679,10.591902982595293,0.0002850523237439106,246355.88249999998,Higher relative profit,Moderate relative profit/ha
40,Uttarakhand,Nainital,2014,Rabi,Wheat,2096.93,24.0,56.4,Black,Rain-fed,406.66,50.97,2737.28,6.56,54393.01,304868.0,17956.5568,976711173.587968,111.3762567220014,16.97808791493924,0.00031213731166815806,356818.1456,Higher relative profit,Higher relative profit/ha
41,Uttarakhand,Nainital,2014,Rabi,Barley,1274.16,25.8,71.8,Sandy,Sprinkler,369.26,44.83,4218.48,7.91,63978.26,445173.0,33368.176799999994,2134837891.0363677,105.52924276042556,13.341244343922323,0.000208527777153088,506068.0366,Higher relative profit,Higher relative profit/ha
52,Uttarakhand,Nainital,2014,Rabi,Maize,744.77,32.8,50.2,Black,Rain-fed,285.83,46.81,3024.27,8.36,56129.3,277163.0,25282.8972,1419111321.80796,91.64624851617084,10.962469918202254,0.00019530744046696206,469240.94800000003,Higher relative profit,Higher relative profit/ha
53,Uttarakhand,Nainital,2014,Kharif,Wheat,1674.43,20.5,37.5,Sandy,Rain-fed,71.81,21.07,4726.04,5.86,51897.99,249968.0,27694.5944,1437293783.225256,52.891638665775154,9.02587690542238,0.00017391573171566724,304122.2214,Higher relative profit,Moderate relative profit/ha
56,Uttarakhand,Almora,2014,Zaid,Cotton,1948.3,37.8,51.8,Alluvial,Drip,298.41,38.53,3726.44,8.12,23012.76,305923.0,30258.692799999997,696336035.3201278,82.09524371786478,10.110251689392214,0.000439332426418744,186863.61119999996,Higher relative profit,Moderate relative profit/ha
58,Uttarakhand,Almora,2014,Kharif,Cotton,1818.09,30.5,71.4,Alluvial,Drip,423.47,28.38,2768.36,5.93,60145.81,267034.0,16416.3748,987376159.609588,96.45927552774927,16.26631965054794,0.00027044809356708204,356664.6533,Higher relative profit,Higher relative profit/ha
61,Uttarakhand,Almora,2014,Rabi,Wheat,1773.6,21.5,63.5,Red,Tube Well,226.89,20.3,4985.03,4.38,55154.98,386263.0,21834.431399999998,1204277627.178372,77.48458885904398,17.690545401608215,0.0003207424860204503,241578.8124,Higher relative profit,Moderate relative profit/ha
63,Uttarakhand,Almora,2014,Zaid,Pulses,608.66,33.5,82.6,Laterite,Tube Well,379.97,5.06,4359.9,4.57,14872.82,262696.0,19924.743,296337116.18526,60.2527580907819,13.184410960783786,0.000886476872629655,67968.7874,Higher relative profit,Moderate relative profit/ha
68,Uttarakhand,Almora,2014,Rabi,Millets,2079.13,35.4,88.9,Laterite,Drip,145.52,26.06,4294.46,4.2,28863.35,229603.00000000003,18036.732,520600508.5722,53.46492923440899,12.729745055811664,0.0004410349129886747,121226.06999999999,Higher relative profit,Moderate relative profit/ha
70,Uttarakhand,Almora,2014,Rabi,Rice,1245.08,37.4,53.6,Laterite,Sprinkler,327.08,40.74,4273.65,7.42,57545.14,374187.0,31710.482999999997,1824784183.7026198,87.55677231406409,11.800104085453382,0.0002050582218664058,426984.9388,Higher relative profit,Higher relative profit/ha
78,Uttarakhand,Pauri,2014,Kharif,Cotton,1894.85,23.1,80.4,Black,Tube Well,242.74,49.36,3758.14,3.67,18103.99,243145.0,13792.3738,249696997.351462,64.69822837893213,17.628945062379326,0.0009737602076878814,66441.64330000001,Higher relative profit,Moderate relative profit/ha
88,Uttarakhand,Pauri,2014,Rabi,Rice,2018.68,24.4,43.2,Laterite,Sprinkler,100.48,39.34,2968.29,6.4,32187.93,265463.0,18997.056,611475908.7340801,89.43297319332007,13.97390206145626,0.0004341348468651528,206002.75200000004,Higher relative profit,Higher relative profit/ha
