Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Estimated_Production_tons,Estimated_Revenue_INR,Profit_per_hectare_INR,Profit_per_ton_INR,Profit_to_Revenue_Ratio,Revenue_per_hectare_INR,Profit_Level,Profit_per_Ha_Level
4,Uttarakhand,Dehradun,2014,Kharif,Cotton,1892.93,30.4,82.4,Alluvial,Tube Well,280.94,43.75,324.54,2.86,27337.56,8166.0,928.1844,25374296.726064,25.1617674246626,8.797820777854056,0.00032182172724464273,78185.4216,Lower relative profit,Lower relative profit/ha
11,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,675.11,33.3,64.7,Black,Canal,361.45,34.17,102.8,3.57,13032.27,6346.0,366.996,4782790.9609199995,61.73151750972763,17.291741599363483,0.001326840343191438,46525.20389999999,Lower relative profit,Moderate relative profit/ha
14,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,515.25,18.4,65.5,Alluvial,Sprinkler,285.38,5.4,3568.42,1.63,15572.22,48359.0,5816.5246,90576200.70661199,13.551936151013614,8.31407125829056,0.0005339040456845949,25382.718599999997,Lower relative profit,Lower relative profit/ha
16,Uttarakhand,Dehradun,2014,Kharif,Pulses,1162.44,27.3,75.1,Black,Drip,319.35,59.13,582.25,4.14,29983.04,40055.0,2410.515,72274567.6656,68.79347359381708,16.616781061308476,0.0005542060131763982,124129.7856,Lower relative profit,Moderate relative profit/ha
26,Uttarakhand,Haridwar,2014,Rabi,Maize,1173.62,18.8,55.1,Sandy,Tube Well,423.24,58.47,295.48,3.81,48149.53,16514.0,1125.7788,54205720.103964,55.88872343305807,14.668956281642538,0.0003046541945818067,183449.7093,Lower relative profit,Moderate relative profit/ha
34,Uttarakhand,Haridwar,2014,Kharif,Rice,910.82,31.3,69.1,Black,Tube Well,87.35,57.36,1250.86,3.47,54747.83,41120.0,4340.4842,237632091.099286,32.87338311241866,9.473597438737364,0.00017304060158617,189974.9701,Lower relative profit,Lower relative profit/ha
36,Uttarakhand,Haridwar,2014,Zaid,Maize,1847.4,31.9,60.6,Sandy,Rain-fed,272.96,55.46,694.66,2.17,36626.09,20066.0,1507.4122,55210614.90429799,28.886073762704058,13.311554729356708,0.0003634446027232694,79478.61529999999,Lower relative profit,Lower relative profit/ha
43,Uttarakhand,Nainital,2014,Kharif,Rice,1246.55,33.0,37.9,Black,Canal,430.77,17.33,436.23,8.19,14133.68,29690.0,3572.7237,50495733.504216,68.0604268390528,8.310186427234774,0.0005879704668023312,115754.8392,Lower relative profit,Moderate relative profit/ha
54,Uttarakhand,Nainital,2014,Zaid,Millets,1261.69,24.8,88.1,Alluvial,Drip,150.99,52.39,659.03,1.68,38062.57,15246.0,1107.1704,42141750.851927996,23.13399996965237,13.770238077174028,0.0003617789885752336,63945.1176,Lower relative profit,Lower relative profit/ha
64,Uttarakhand,Almora,2014,Kharif,Wheat,766.4,29.0,86.0,Red,Sprinkler,225.25,43.4,694.99,8.3,44270.2,59951.0,5768.417,255368974.2734,86.26167282982489,10.392972630099383,0.0002347622696554202,367442.66000000003,Lower relative profit,Higher relative profit/ha
76,Uttarakhand,Pauri,2014,Zaid,Millets,1899.11,36.1,77.7,Black,Canal,142.05,49.11,1173.12,2.59,25283.22,47264.0,3038.3807999999995,76820050.21017599,40.289143480632845,15.555653853526197,0.0006152560414981238,65483.5398,Lower relative profit,Moderate relative profit/ha
80,Uttarakhand,Pauri,2014,Rabi,Millets,445.04,35.7,65.9,Alluvial,Drip,416.1,17.18,409.76,7.21,60197.54,32563.0,2954.3696,177845782.170784,79.46846934791097,11.021979105119414,0.00018309683593581088,434024.2634,Lower relative profit,Moderate relative profit/ha
81,Uttarakhand,Pauri,2014,Zaid,Wheat,2103.27,24.1,62.1,Laterite,Sprinkler,88.88,53.8,764.75,4.51,47535.77,53223.0,3449.0225,163951940.284825,69.59529257927427,15.431328731546401,0.00032462561838267063,214386.3227,Lower relative profit,Moderate relative profit/ha
85,Uttarakhand,Pauri,2014,Kharif,Wheat,899.09,37.7,89.3,Sandy,Rain-fed,266.09,48.92,638.64,7.53,18985.57,55699.0,4808.9592,91300831.518744,87.21501941625955,11.582339895917602,0.0006100601612655086,142961.3421,Lower relative profit,Higher relative profit/ha
87,Uttarakhand,Pauri,2014,Kharif,Wheat,1709.04,36.2,71.2,Laterite,Tube Well,170.65,40.38,252.64,8.49,56906.82,26303.0,2144.9136,122060212.150752,104.11257124762508,12.262964811263261,0.00021549200625273492,483138.9018,Lower relative profit,Higher relative profit/ha
114,Uttar Pradesh,Kanpur,2014,Kharif,Wheat,916.38,34.6,73.3,Sandy,Sprinkler,105.52,43.8,2298.15,1.24,16198.97,30091.000000000004,2849.706,46162302.00282,13.093575267062638,10.55933489279245,0.0006518522407778056,20086.7228,Lower relative profit,Lower relative profit/ha
117,Uttar Pradesh,Kanpur,2014,Zaid,Wheat,1102.82,27.4,70.0,Alluvial,Sprinkler,442.42,18.95,179.59,6.96,30274.53,19161.0,1249.9464,37841539.785192,106.6930229968261,15.329457327130187,0.0005063483174513423,210710.72879999998,Lower relative profit,Higher relative profit/ha
122,Uttar Pradesh,Kanpur,2014,Rabi,Cotton,951.69,30.1,58.4,Alluvial,Canal,325.91,24.34,307.54,7.55,30685.64,41752.0,2321.927,71249816.02828,135.76120179488845,17.981616131773308,0.0005859944955286351,231676.582,Lower relative profit,Higher relative profit/ha
124,Uttar Pradesh,Kanpur,2014,Rabi,Barley,2109.04,18.6,43.4,Red,Drip,229.97,25.4,2275.3,1.76,19297.84,46731.0,4004.5280000000002,77278740.61952001,20.53839054190656,11.669540080628728,0.0006047070594755023,33964.1984,Lower relative profit,Lower relative profit/ha
130,Uttar Pradesh,Varanasi,2014,Zaid,Maize,1178.71,36.2,38.0,Red,Canal,99.66,13.42,906.82,3.56,49594.6,36997.0,3228.2792000000004,160105215.61232,40.798614940120416,11.460285095539442,0.0002310792928169487,176556.77599999998,Lower relative profit,Moderate relative profit/ha
131,Uttar Pradesh,Varanasi,2014,Kharif,Cotton,753.34,37.1,50.1,Sandy,Sprinkler,300.01,38.79,557.8,5.88,43365.85,45283.0,3279.8639999999996,142234090.24439996,81.1814270347795,13.806365141969303,0.0003183695267582511,254991.19799999995,Lower relative profit,Moderate relative profit/ha
136,Uttar Pradesh,Varanasi,2014,Kharif,Pulses,741.7,21.2,89.8,Black,Sprinkler,236.73,53.35,2537.11,1.86,32841.84,59329.0,4719.024600000001,154981450.869264,23.384480767487414,12.572301487896459,0.00038281355392683417,61085.8224,Lower relative profit,Lower relative profit/ha
137,Uttar Pradesh,Varanasi,2014,Rabi,Pulses,487.58,23.6,67.9,Red,Tube Well,387.14,41.99,1500.17,1.26,17697.35,17653.0,1890.2142000000001,33451782.27237,11.7673330355893,9.33915320284865,0.0005277147823176154,22298.661,Lower relative profit,Lower relative profit/ha
142,Uttar Pradesh,Varanasi,2014,Rabi,Millets,877.95,31.1,88.5,Black,Drip,281.39,17.51,351.64,4.71,39784.31,25194.0,1656.2243999999998,65891744.959163986,71.6471391195541,15.211706819438238,0.00038235442111320367,187384.10009999998,Lower relative profit,Moderate relative profit/ha
158,Uttar Pradesh,Agra,2014,Kharif,Cotton,1701.9,25.9,79.9,Laterite,Canal,348.32,36.81,321.92,3.72,15379.28,21485.0,1197.5424,18417339.881472003,66.74018389662028,17.940909649629106,0.0011665636915141088,57210.92160000001,Lower relative profit,Moderate relative profit/ha
162,Uttar Pradesh,Agra,2014,Kharif,Sugarcane,770.95,20.0,36.8,Alluvial,Drip,289.11,43.68,338.51,6.61,33320.06,23144.0,2237.5511,74555336.905066,68.37021062893268,10.343450927221282,0.00031042713990374815,220245.5966,Lower relative profit,Moderate relative profit/ha
165,Uttar Pradesh,Meerut,2014,Rabi,Pulses,1653.36,26.2,51.5,Alluvial,Sprinkler,123.55,34.59,1280.74,2.85,57449.69,34470.0,3650.109,209697630.51621,26.914127769883038,9.443553603467732,0.00016437953979329972,163731.6165,Lower relative profit,Lower relative profit/ha
175,Uttar Pradesh,Meerut,2014,Zaid,Maize,833.74,30.4,48.9,Black,Rain-fed,191.78,48.72,487.19,8.2,36326.88,41676.0,3994.9579999999996,145124359.87104,85.54362774276976,10.43214972472802,0.00028717439330677507,297880.41599999997,Lower relative profit,Higher relative profit/ha
176,Uttar Pradesh,Meerut,2014,Rabi,Rice,1576.72,35.2,76.8,Laterite,Rain-fed,87.4,25.86,2808.24,1.61,12500.86,43919.0,4521.2663999999995,56519718.289104,15.639332820556648,9.713871317115931,0.0007770562438996941,20126.3846,Lower relative profit,Lower relative profit/ha
180,Uttar Pradesh,Meerut,2014,Rabi,Rice,1013.07,33.4,87.5,Sandy,Tube Well,208.68,47.55,245.17,3.2,64607.05,10125.0,784.544,50687073.4352,41.29787494391647,12.905585919973896,0.0001997550719306004,206742.56,Lower relative profit,Moderate relative profit/ha
181,Punjab,Ludhiana,2014,Zaid,Barley,734.33,29.7,55.9,Black,Tube Well,358.87,21.25,1307.6,1.74,26202.52,26848.0,2275.2239999999997,59616602.364479996,20.53227286631998,11.800156819724126,0.0004503443493115977,45592.3848,Lower relative profit,Lower relative profit/ha
