Metric,Value
Average Cultivated Area (ha),2563.768705808081
Average Yield (ton/ha),4.8322133838383845
Average Market Price (INR/ton),38279.7482209596
Average Estimated Production (ton),12367.956554974748
Average Estimated Revenue (INR),472589861.19381136
Average Farmer Profit (INR),160679.95467171716
Average Profit per Hectare (INR),62.74880512178975
Average Profit per Ton (INR),13.005496686972842
Average Revenue per Hectare (INR),185113.79415681819
Average Profit-to-Revenue Ratio,0.0004183031949862607
