Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Estimated_Production_tons,Yield_per_Fertilizer_kg,Yield_per_Pesticide_kg,Profit_per_hectare_INR,Production_per_hectare,Fertilizer_per_hectare,Pesticide_per_hectare,Fertilizer_Use_Flag,Pesticide_Use_Flag,Analytical_Resource_Risk
1,Uttarakhand,Dehradun,2014,Kharif,Rice,445.02,23.5,47.3,Black,Sprinkler,344.59,42.22,4471.68,1.83,34361.86,67904.0,8183.174400000001,0.005310659044081373,0.043344386546660355,15.18534421067697,1.83,0.07706052311435523,0.00944164162015171,Moderate relative use,Moderate relative use,False
2,Uttarakhand,Dehradun,2014,Rabi,Wheat,1410.24,32.3,73.6,Red,Rain-fed,217.81,29.71,1463.13,7.55,52216.79,106010.0,11046.631500000001,0.03466323860245168,0.25412319084483337,72.45425902004607,7.550000000000001,0.14886578772904663,0.020305782808089506,Moderate relative use,Moderate relative use,False
3,Uttarakhand,Dehradun,2014,Kharif,Maize,787.56,33.3,40.6,Laterite,Canal,201.97,24.74,1785.38,3.13,14302.87,70380.0,5588.2394,0.0154973510917463,0.1265157639450283,39.42017945759446,3.13,0.11312437688335256,0.01385699402928228,Moderate relative use,Moderate relative use,False
4,Uttarakhand,Dehradun,2014,Kharif,Cotton,1892.93,30.4,82.4,Alluvial,Tube Well,280.94,43.75,324.54,2.86,27337.56,8166.0,928.1844,0.010180109631949883,0.06537142857142857,25.1617674246626,2.86,0.8656560054230603,0.1348061872188328,Moderate relative use,Moderate relative use,False
5,Uttarakhand,Dehradun,2014,Zaid,Cotton,1216.14,34.7,43.9,Black,Drip,192.11,41.86,3538.92,6.19,15784.33,314345.0,21905.914800000002,0.03222112331476758,0.14787386526516963,88.82512178856827,6.19,0.0542849230838787,0.011828467442044466,Moderate relative use,Moderate relative use,False
6,Uttarakhand,Dehradun,2014,Rabi,Millets,1083.02,37.8,70.2,Laterite,Rain-fed,272.78,42.65,4229.97,6.86,24139.55,241455.00000000003,29017.594200000003,0.02514847129554953,0.1608440797186401,57.08196512032001,6.86,0.06448745499377063,0.010082813826102785,Moderate relative use,Moderate relative use,False
7,Uttarakhand,Dehradun,2014,Kharif,Rice,779.77,36.9,83.2,Sandy,Sprinkler,175.87,41.05,2038.6,7.88,36319.15,171064.0,16064.168,0.044805822482515495,0.19196102314250915,83.91248896301384,7.88,0.0862699892082802,0.020136368095751984,Moderate relative use,Moderate relative use,False
8,Uttarakhand,Dehradun,2014,Kharif,Cotton,1744.62,26.6,67.1,Black,Tube Well,194.8,59.85,777.83,4.8,52056.45,62019.00000000001,3733.584,0.02464065708418891,0.08020050125313283,79.73336076006326,4.8,0.2504403275780055,0.07694483370402273,Moderate relative use,Higher relative use,False
9,Uttarakhand,Dehradun,2014,Rabi,Rice,1092.58,29.9,60.7,Red,Canal,150.57,35.43,4717.91,6.17,18071.24,490434.0,29109.504699999998,0.040977618383476126,0.17414620378210555,103.95153786316399,6.17,0.03191455538575344,0.007509681193579361,Moderate relative use,Moderate relative use,False
10,Uttarakhand,Dehradun,2014,Rabi,Cotton,1182.58,27.1,87.5,Sandy,Sprinkler,400.34,19.49,2552.87,2.5,60369.28,106615.0,6382.174999999999,0.006244692011789979,0.12827090815802977,41.76280029927102,2.5,0.15681957953205608,0.007634544649747147,Higher relative use,Moderate relative use,False
