Metric,Baseline,Scenario,Absolute_Change,Percentage_Change
Rainfall (mm),1393.5549999999998,1393.5549999999998,0.0,0.0
Temperature (°C),32.95,32.95,0.0,0.0
Humidity (%),60.65,60.65,0.0,0.0
Fertilizer (kg),214.07999999999998,180.0,-34.079999999999984,-15.919282511210756
Pesticide (kg),36.364999999999995,25.0,-11.364999999999995,-31.25257802832393
Cultivated Area (ha),2507.75,2507.75,0.0,0.0
Yield (ton/ha),4.85,4.85,0.0,0.0
Market Price (INR/ton),34396.91,34396.91,0.0,0.0
Production (ton),12162.5875,12162.5875,0.0,0.0
Revenue (INR),418355427.60462505,418355427.60462505,0.0,0.0
Farmer Profit (INR),169557.0,169557.0,0.0,0.0
Profit per Hectare (INR),67.61319908284318,67.61319908284318,0.0,0.0
Yield / Fertilizer,0.0226550822122571,0.02694444444444444,0.00428936223218734,18.933333333333316
Yield / Pesticide,0.13336999862505158,0.19399999999999998,0.060630001374948395,45.45999999999996
