Metric,Value
Crop,Rice
State,Punjab
Season,Kharif
Historical Reference Context,Same Crop + State + Season
Reference Record Count,10
Baseline Fertilizer (kg),214.07999999999998
Scenario Fertilizer (kg),180.0
Fertilizer Change (%),-15.919282511210756
Baseline Pesticide (kg),36.364999999999995
Scenario Pesticide (kg),25.0
Pesticide Change (%),-31.25257802832393
Baseline Yield (ton/ha),4.85
Scenario Yield Reference (ton/ha),4.85
Baseline Production (ton),12162.5875
Scenario Production (ton),12162.5875
Baseline Revenue (INR),418355427.60462505
Scenario Revenue (INR),418355427.60462505
Baseline Profit (INR),169557.0
Scenario Profit Reference (INR),169557.0
Baseline Climate Score,0
Scenario Climate Score,0
Nearest-Case Median Yield,6.33
Nearest-Case Yield Minimum,1.92
Nearest-Case Yield Maximum,8.1
Yield Assumption,Historical median reference; no causal yield prediction applied
