Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Rainfall_Condition,Temperature_Condition,Humidity_Condition,Climate_Extreme_Flag,Climate_Stress_Score,Climate_Stress_Level
12,Uttarakhand,Dehradun,2014,Zaid,Sugarcane,1980.42,36.9,39.7,Black,Rain-fed,244.4,8.81,3826.95,6.79,18804.75,331382.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
13,Uttarakhand,Dehradun,2014,Rabi,Barley,2135.85,36.6,76.5,Alluvial,Drip,325.95,44.21,2055.06,6.1,31791.29,213061.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
14,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,515.25,18.4,65.5,Alluvial,Sprinkler,285.38,5.4,3568.42,1.63,15572.22,48359.0,Lower relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
20,Uttarakhand,Haridwar,2014,Kharif,Rice,1932.42,19.4,38.7,Laterite,Sprinkler,394.73,27.21,4713.82,5.36,42682.71,212170.0,Moderate relative rainfall,Lower relative temperature,Lower relative humidity,True,2,High relative climate deviation
30,Uttarakhand,Haridwar,2014,Zaid,Maize,1445.06,37.7,37.1,Black,Rain-fed,288.63,24.01,3953.5,4.39,64164.5,158918.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
31,Uttarakhand,Haridwar,2014,Zaid,Wheat,1675.81,18.0,85.9,Red,Sprinkler,265.38,44.57,3735.56,6.1,31303.74,198240.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
55,Uttarakhand,Almora,2014,Rabi,Maize,1860.06,37.0,39.7,Laterite,Tube Well,149.28,35.69,2139.25,5.55,44776.17,187080.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
57,Uttarakhand,Almora,2014,Rabi,Sugarcane,712.86,19.5,35.1,Alluvial,Drip,230.2,37.66,1527.17,2.89,49468.66,66335.0,Moderate relative rainfall,Lower relative temperature,Lower relative humidity,True,2,High relative climate deviation
65,Uttarakhand,Almora,2014,Zaid,Wheat,1394.05,19.9,89.6,Red,Tube Well,415.17,30.38,675.58,7.27,38413.9,74487.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
68,Uttarakhand,Almora,2014,Rabi,Millets,2079.13,35.4,88.9,Laterite,Drip,145.52,26.06,4294.46,4.2,28863.35,229603.00000000003,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
