Year,Records,Avg_Yield,Avg_Market_Price,Avg_Revenue,Avg_Profit,Avg_Profit_per_Ha
2014,720,4.816736111111111,37628.521375000004,462087030.6947747,155509.33194444445,61.360604282273066
2015,720,4.8445277777777775,38198.33263888889,474073358.90108407,162248.3763888889,62.85812485653151
2016,720,4.845444444444444,38019.82009722222,474444063.41015786,165376.64305555556,63.774904311453795
2017,720,4.970069444444444,37395.23981944444,464043778.30135727,159572.2625,64.18016069158716
2018,720,4.8289583333333335,38154.66168055555,473806525.0530968,163759.40694444443,63.23512336051286
2019,720,4.899527777777777,38713.78940277778,468097147.71708655,156139.125,62.837981952335525
2020,720,4.970902777777778,38270.98198611111,487387276.54703987,164541.6625,64.49530864730193
2021,720,4.753222222222222,39071.62530555556,489198125.6606979,164680.18055555556,61.99699643130534
2022,720,4.846333333333334,38243.49522222222,479258276.9283034,163959.70138888888,63.368928921826345
2023,720,4.690611111111111,39401.73847222222,473513307.8192076,159919.4347222222,61.693424881016945
2024,720,4.6880138888888885,37979.02443055555,452579582.09911865,151773.3763888889,60.43529800354274
