Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Estimated_Production_tons,Estimated_Revenue_INR,Profit_per_hectare_INR,Profit_per_ton_INR,Profit_to_Revenue_Ratio,Revenue_per_hectare_INR,Profit_Level,Profit_per_Ha_Level
1,Uttarakhand,Dehradun,2014,Kharif,Rice,445.02,23.5,47.3,Black,Sprinkler,344.59,42.22,4471.68,1.83,34361.86,67904.0,8183.174400000001,281189093.08838403,15.18534421067697,8.298002300916377,0.0002414887407409371,62882.2038,Moderate relative profit,Lower relative profit/ha
2,Uttarakhand,Dehradun,2014,Rabi,Wheat,1410.24,32.3,73.6,Red,Rain-fed,217.81,29.71,1463.13,7.55,52216.79,106010.0,11046.631500000001,576819637.2428851,72.45425902004607,9.596590598681598,0.00018378361823240372,394236.76450000005,Moderate relative profit,Moderate relative profit/ha
3,Uttarakhand,Dehradun,2014,Kharif,Maize,787.56,33.3,40.6,Laterite,Canal,201.97,24.74,1785.38,3.13,14302.87,70380.0,5588.2394,79927861.667078,39.42017945759446,12.59430653597267,0.0008805440122138194,44767.9831,Moderate relative profit,Moderate relative profit/ha
4,Uttarakhand,Dehradun,2014,Kharif,Cotton,1892.93,30.4,82.4,Alluvial,Tube Well,280.94,43.75,324.54,2.86,27337.56,8166.0,928.1844,25374296.726064,25.1617674246626,8.797820777854056,0.00032182172724464273,78185.4216,Lower relative profit,Lower relative profit/ha
5,Uttarakhand,Dehradun,2014,Zaid,Cotton,1216.14,34.7,43.9,Black,Drip,192.11,41.86,3538.92,6.19,15784.33,314345.0,21905.914800000002,345770188.155084,88.82512178856827,14.34977734871862,0.0009091153915762418,97705.0027,Higher relative profit,Higher relative profit/ha
6,Uttarakhand,Dehradun,2014,Rabi,Millets,1083.02,37.8,70.2,Laterite,Rain-fed,272.78,42.65,4229.97,6.86,24139.55,241455.00000000003,29017.594200000003,700471666.07061,57.08196512032001,8.320986169142857,0.00034470345011165733,165597.313,Higher relative profit,Moderate relative profit/ha
7,Uttarakhand,Dehradun,2014,Kharif,Rice,779.77,36.9,83.2,Sandy,Sprinkler,175.87,41.05,2038.6,7.88,36319.15,171064.0,16064.168,583436927.2172,83.91248896301384,10.648793015610893,0.00029320050209354824,286194.90200000006,Moderate relative profit,Moderate relative profit/ha
8,Uttarakhand,Dehradun,2014,Kharif,Cotton,1744.62,26.6,67.1,Black,Tube Well,194.8,59.85,777.83,4.8,52056.45,62019.00000000001,3733.584,194357128.81679997,79.73336076006326,16.61111682501318,0.0003190981487407071,249870.95999999993,Moderate relative profit,Moderate relative profit/ha
9,Uttarakhand,Dehradun,2014,Rabi,Rice,1092.58,29.9,60.7,Red,Canal,150.57,35.43,4717.91,6.17,18071.24,490434.0,29109.504699999998,526044845.714828,103.95153786316399,16.847899167449594,0.0009323045439853376,111499.55080000001,Higher relative profit,Higher relative profit/ha
10,Uttarakhand,Dehradun,2014,Rabi,Cotton,1182.58,27.1,87.5,Sandy,Sprinkler,400.34,19.49,2552.87,2.5,60369.28,106615.0,6382.174999999999,385287309.58399993,41.76280029927102,16.705120119708408,0.0002767155765268098,150923.19999999998,Moderate relative profit,Moderate relative profit/ha
