Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Estimated_Production_tons,Yield_per_Fertilizer_kg,Yield_per_Pesticide_kg,Profit_per_hectare_INR,Production_per_hectare,Fertilizer_per_hectare,Pesticide_per_hectare,Fertilizer_Use_Flag,Pesticide_Use_Flag,Analytical_Resource_Risk
188,Punjab,Ludhiana,2014,Kharif,Millets,1835.83,34.6,38.8,Laterite,Tube Well,389.12,48.73,3397.59,2.22,28050.13,79400.0,7542.649800000001,0.005705180921052632,0.04555715165195978,23.369506032216954,2.22,0.11452823913420983,0.014342519256296373,Higher relative use,Higher relative use,True
198,Punjab,Ludhiana,2014,Rabi,Barley,1161.47,27.7,64.6,Sandy,Canal,417.66,56.19,948.85,2.42,27308.24,22666.0,2296.217,0.005794186659004932,0.04306816159458979,23.887864256731834,2.42,0.4401749486220161,0.05921905464509669,Higher relative use,Higher relative use,True
241,Punjab,Jalandhar,2014,Zaid,Pulses,645.61,21.2,87.2,Red,Drip,366.74,57.84,3280.98,2.47,63343.37,121038.0,8104.020600000001,0.006735016633037029,0.04270401106500692,36.890807014977234,2.47,0.11177757865028132,0.017628879176343655,Higher relative use,Higher relative use,True
267,Punjab,Bathinda,2014,Rabi,Millets,2031.75,31.4,62.9,Sandy,Drip,388.17,51.24,4394.82,2.52,17172.96,102769.0,11074.946399999999,0.006492000927428704,0.04918032786885246,23.384120396284718,2.52,0.08832443649569266,0.01165918058077464,Higher relative use,Higher relative use,True
360,Maharashtra,Kolhapur,2014,Rabi,Barley,528.49,27.4,45.6,Black,Canal,386.62,49.95,4158.44,2.09,52711.72,91167.0,8691.139599999999,0.005405824840929077,0.04184184184184184,21.923365492829042,2.09,0.09297236463673879,0.012011715931936017,Higher relative use,Higher relative use,True
362,Karnataka,Bengaluru,2014,Kharif,Rice,855.96,30.8,45.9,Red,Sprinkler,405.01,52.5,1167.16,2.02,45544.18,26512.0,2357.6632,0.004987531172069825,0.038476190476190476,22.71496624284588,2.02,0.34700469515747623,0.044980979471537744,Higher relative use,Higher relative use,True
640,West Bengal,Kolkata,2014,Kharif,Sugarcane,770.47,19.1,85.5,Laterite,Canal,445.35,49.08,3511.76,2.82,58253.41,130868.0,9903.1632,0.006332098349612664,0.05745721271393643,37.265644577078156,2.8200000000000003,0.12681675285327015,0.013975898125156615,Higher relative use,Higher relative use,True
717,West Bengal,Malda,2014,Rabi,Cotton,806.59,35.6,56.2,Red,Canal,403.69,50.25,650.8,2.44,17837.19,14319.0,1587.9519999999998,0.006044241868760683,0.04855721393034826,22.002151198524896,2.44,0.6202980946527351,0.07721266133988937,Higher relative use,Higher relative use,True
864,Uttar Pradesh,Varanasi,2015,Kharif,Millets,1413.68,30.9,53.3,Alluvial,Drip,373.87,58.67,567.41,2.44,57835.87,17857.0,1384.4804,0.006526332682483216,0.041588546105334925,31.4710703018981,2.44,0.6589062582612221,0.10339965809555701,Higher relative use,Higher relative use,True
901,Punjab,Ludhiana,2015,Zaid,Millets,1303.71,33.6,74.2,Alluvial,Drip,387.67,58.45,647.19,2.51,34475.45,25335.0,1624.4469,0.0064745788944205115,0.042942686056458505,39.14615491586705,2.51,0.5990049290007571,0.09031350917041363,Higher relative use,Higher relative use,True
