Metric,Baseline,Scenario,Absolute_Change,Percentage_Change
Rainfall (mm),1393.5549999999998,1393.5,-0.05499999999983629,-0.003946740530501939
Temperature (°C),32.95,32.95,0.0,0.0
Humidity (%),60.65,60.65,0.0,0.0
Fertilizer (kg),214.07999999999998,214.07,-0.009999999999990905,-0.004671150971595154
Pesticide (kg),36.364999999999995,36.36,-0.0049999999999954525,-0.01374948439432271
Cultivated Area (ha),2507.75,2507.75,0.0,0.0
Yield (ton/ha),4.85,4.85,0.0,0.0
Market Price (INR/ton),34396.91,34396.91,0.0,0.0
Production (ton),12162.5875,12162.5875,0.0,0.0
Revenue (INR),418355427.60462505,418355427.60462505,0.0,0.0
Farmer Profit (INR),169557.0,169557.0,0.0,0.0
Profit per Hectare (INR),67.61319908284318,67.61319908284318,0.0,0.0
Yield / Fertilizer,0.0226550822122571,0.022656140514784883,1.058302527782301e-06,0.004671369178301753
Yield / Pesticide,0.13336999862505158,0.13338833883388337,1.8340208831790772e-05,0.013751375137486007
