Feature,Importance
num__Rainfall_mm,0.16578670967217166
num__Cultivated_Area_hectares,0.14563997419073427
num__Fertilizer_Used_kg,0.1257651758772419
num__Pesticide_Used_kg,0.10543454194174512
num__Avg_Temperature_C,0.08911918715125908
num__Humidity_percent,0.07268931624447034
num__Year,0.022085133737653535
cat__Irrigation_Type_Drip,0.015840946172338298
cat__Soil_Type_Red,0.015664782318422905
cat__District_Pune,0.01502230401588444
cat__Crop_Type_Sugarcane,0.013178937479889442
cat__Season_Kharif,0.011156057804899125
cat__District_Ludhiana,0.011155677553546316
cat__District_Lucknow,0.011109885969509839
cat__Season_Zaid,0.011031267558945785
cat__State_Maharashtra,0.010895721805284886
cat__State_Rajasthan,0.009269917394169103
cat__Soil_Type_Sandy,0.009142860372174818
cat__Crop_Type_Wheat,0.008541854287652821
cat__District_Jalandhar,0.00824408727568087
cat__Crop_Type_Rice,0.007276931324395912
cat__Crop_Type_Cotton,0.006698604011177961
cat__District_Almora,0.006552476954550649
cat__Crop_Type_Barley,0.006466585405510924
cat__Season_Rabi,0.006302558882041316
cat__Crop_Type_Maize,0.006289858050394835
cat__District_Nagpur,0.005989558971893062
cat__District_Madurai,0.0059792855504470135
cat__State_Uttar Pradesh,0.005620901793738157
cat__District_Nashik,0.005502830797187791
cat__State_West Bengal,0.00466853621088834
cat__Crop_Type_Millets,0.00429209858421977
cat__State_Karnataka,0.004102222619253345
cat__District_Darjeeling,0.004076799193727009
cat__District_Varanasi,0.0036480325237296216
cat__District_Malda,0.003540664426210091
cat__Irrigation_Type_Sprinkler,0.0031440380298867975
cat__District_Pauri,0.0030703263342370985
cat__District_Kanpur,0.002910653435171226
cat__State_Punjab,0.0025105017459010523
cat__Soil_Type_Black,0.0024466088755754193
cat__District_Dehradun,0.002437395078494415
cat__Irrigation_Type_Rain-fed,0.0024048961630298684
cat__Irrigation_Type_Canal,0.0023528200082923545
cat__District_Hubli,0.0020783516977195566
cat__District_Nainital,0.001579815728755824
cat__Soil_Type_Alluvial,0.0015550150387634832
cat__Irrigation_Type_Tube Well,0.001436227782458744
cat__District_Howrah,0.001383638525632794
cat__District_Mangalore,0.001288019427242698
cat__District_Bengaluru,0.0011235615948785396
cat__District_Ajmer,0.0009930878207519886
cat__District_Aurangabad,0.0009182938718693635
cat__District_Udaipur,0.0006075754920169419
cat__State_Uttarakhand,0.0006041493490275943
cat__District_Jaipur,0.00047854370118601957
cat__Crop_Type_Pulses,0.0004581793370508183
cat__District_Amritsar,0.0004360168390170596
cat__State_Tamil Nadu,0.0
cat__District_Bathinda,0.0
cat__District_Mysuru,0.0
cat__District_Meerut,0.0
cat__District_Kota,0.0
cat__District_Kolkata,0.0
cat__District_Kolhapur,0.0
cat__District_Jodhpur,0.0
cat__District_Coimbatore,0.0
cat__District_Haridwar,0.0
cat__District_Chennai,0.0
cat__District_Belagavi,0.0
cat__District_Agra,0.0
cat__District_Siliguri,0.0
cat__District_Tiruchirappalli,0.0
cat__District_Patiala,0.0
cat__District_Salem,0.0
cat__Soil_Type_Laterite,0.0
